Metric,YOLOv8s_Baseline,YOLOv8s_C2A_Finetuned,Absolute_Gain,Relative_Improvement_%
Precision,0.3350569042139544,0.8612927161595996,0.5262358119456452,157.0586384961079
Recall,0.24228175889028308,0.7640737994118999,0.5217920405216168,215.36579679442954
mAP50,0.17323375849861045,0.8121408932138355,0.6389071347152251,368.81214161288887
mAP50-95,0.0845050131189208,0.5438539349196255,0.45934892180070475,543.5759428310837
