Metric,YOLOv8n,YOLOv8s,Absolute_Gain,Relative_Improvement_%
Precision,0.843,0.8612927161595996,0.018292716159599598,2.1699544673309132
Recall,0.728,0.7640737994118999,0.03607379941189992,4.95519222690933
mAP50,0.774,0.8121408932138355,0.038140893213835514,4.9277639811156995
mAP50-95,0.488,0.5438539349196255,0.055853934919625536,11.44547846713638
