Metric,YOLOv8n_Baseline,YOLOv8n_C2A_Finetuned,Absolute_Gain,Relative_Improvement_%
precision,0.3117151203204491,0.843,0.5312848796795508,170.43923924299207
recall,0.1887952787391586,0.728,0.5392047212608414,285.6028629856851
mAP50,0.13146329549629282,0.774,0.6425367045037071,488.7574908859836
mAP50_95,0.05998179672358346,0.488,0.42801820327641654,713.5801637434606
